Linker_ID,Part_A_Name,Repetition_Unit,Number_of_Repetitions,Part_A_Smiles,Functional_Groups,Part_B_Name,Repetition_Unit.1,Number_of_Repetitions.1,Part_B_Smiles,Functional_Groups.1,SMILES,Status,Ring_Count,Heteroatom_Count,Molecular_Weight,LogP,TPSA,Rotatable_Bonds,H_Bond_Acceptor,H_Bond_Donor
LN-0001,"1,3-diaminopropane",,,NCCCN,NH2,,,,,,NCCCN,Valid,0,2,74.127,-0.7060999999999997,52.04,2.0,2.0,2.0
LN-0002,Azide-PEG-amine,CH2-CH2-O,1.0,[N-]=[N+]=NCCOCCN,N3 | NH2,,,,,,[N-]=[N+]=NCCOCCN,Valid,0,5,130.15099999999998,0.27200000000000013,84.01,5.0,3.0,1.0
LN-0003,Azide-PEG-amine,CH2-CH2-O,2.0,[N-]=[N+]=NCCOCCOCCN,N3 | NH2,,,,,,[N-]=[N+]=NCCOCCOCCN,Valid,0,6,174.20399999999998,0.2886000000000001,93.24000000000001,8.0,4.0,1.0
LN-0004,Azide-PEG-amine,CH2-CH2-O,3.0,[N-]=[N+]=NCCOCCOCCOCCN,N3 | NH2,,,,,,[N-]=[N+]=NCCOCCOCCOCCN,Valid,0,7,218.25699999999995,0.30520000000000025,102.47000000000001,11.0,5.0,1.0
LN-0005,Azide-PEG-amine,CH2-CH2-O,4.0,[N-]=[N+]=NCCOCCOCCOCCOCCN,N3 | NH2,,,,,,[N-]=[N+]=NCCOCCOCCOCCOCCN,Valid,0,8,262.30999999999995,0.32180000000000064,111.70000000000002,14.0,6.0,1.0
LN-0006,succinic anhydride,,,O1C(=O)CCC1=O,COOH | CO,tert-butyl 3-(bromomethyl)azetidine-1-carboxylate,,,N1(C(OC(C)(C)C)=O)CC(CBr)C1,Br | Nboc,OC(=O)CCC(=O)N1CC(CBr)C1,Valid,1,5,100.073,-0.15000000000000002,43.370000000000005,0.0,3.0,0.0
LN-0007,alkynoic acid,CH2,1.0,C#CCCCC(=O)O,COOH | CN,,,,,,C#CCCCC(=O)O,Valid,0,2,112.12799999999999,0.8745,37.3,3.0,1.0,1.0
LN-0008,alkynoic acid,CH2,2.0,C(CCCCC#C)(=O)O,COOH | CN,,,,,,C(CCCCC#C)(=O)O,Valid,0,2,126.15499999999997,1.2646,37.3,4.0,1.0,1.0
LN-0009,alkynoic acid,CH2,3.0,C(CCCCCC#C)(=O)O,COOH | CN,,,,,,C(CCCCCC#C)(=O)O,Valid,0,2,140.182,1.6547,37.3,5.0,1.0,1.0
LN-0010,alkynoic acid,CH2,4.0,C(CCCCCCC#C)(=O)O,COOH | CN,,,,,,C(CCCCCCC#C)(=O)O,Valid,0,2,154.209,2.0448,37.3,6.0,1.0,1.0
