Compound_ID,Common_Name,SMILES,InChIKey,Ring_Count,Heteroatom_Count,Status,Molecular_Weight,LogP,TPSA,Rotatable_Bonds,H_Bond_Acceptor,H_Bond_Donor
PT-0001,Nimbolide based PROTAC,CC1=C8[C@@H](C[C@H]1C2=C(OC=C2)C3=CC=C(C=C3)C(=O)N(CCCN(C(C[C@H]5C4=NN=C([N]4C7=C(C(=N5)C6=CC=C(C=C6)Cl)C(=C(C)S7)C)C)=O)[H])[H])O[C@H]9[C@@]8([C@@H]([C@@]%11([C@H]%10[C@H]9OC(=O)[C@@]%10(C=CC%11=O)C)C)CC(=O)OC)C,,11,17,Valid,1025.625,8.849460000000006,193.30999999999997,12.0,13.0,2.0
PT-0002,Matrine based PROTAC,C1(=O)NC(=O)C(N2C(=O)C3CCCC(NCCOCN4C=C(COC5C=CC(CC(NC(CNC6CC(=O)N7CC8CCCN9CCCC(C7C6)C89)=O)C(=O)OC)=CC=5)N=N4)C3C2=O)CC1,,9,20,Valid,915.0619999999994,0.033400000000010754,235.73000000000002,17.0,15.0,4.0
PT-0003,Matrine based PROTAC,C1(=O)NC(=O)C(N2C(=O)C3CCCC(NCCOCCOCN4C=C(COC5C=CC(CC(NC(CNC6CC(=O)N7CC8CCCN9CCCC(C7C6)C89)=O)C(=O)OC)=CC=5)N=N4)C3C2=O)CC1,,9,21,Valid,959.1149999999994,0.050000000000012035,244.95999999999998,20.0,16.0,4.0
PT-0004,Matrine based PROTAC,C1(=O)NC(=O)C(N2C(=O)C3CCCC(NCCOCCOCCOCN4C=C(COC5C=CC(CC(NC(CNC6CC(=O)N7CC8CCCN9CCCC(C7C6)C89)=O)C(=O)OC)=CC=5)N=N4)C3C2=O)CC1,,9,22,Valid,1003.1679999999993,0.06660000000000887,254.19,23.0,17.0,4.0
PT-0005,Matrine based PROTAC,C1(=O)NC(=O)C(N2C(=O)C3CCCC(NCCOCCOCCOCCOCN4C=C(COC5C=CC(CC(NC(CNC6CC(=O)N7CC8CCCN9CCCC(C7C6)C89)=O)C(=O)OC)=CC=5)N=N4)C3C2=O)CC1,,9,23,Valid,1047.2209999999995,0.08320000000000749,263.41999999999996,26.0,18.0,4.0
PT-0007,Evodiamine based PROTAC,C12=CC=C(F)C=C1C(=O)N1C(C3=C(CC1)C1=C(C=CC(=C1)OC(CCCC#CC1=CC=CC4=C1CN(C4=O)C1CCC(=O)NC1=O)=O)N3)N2C,,8,12,Valid,673.7010000000001,4.342300000000003,132.12,5.0,7.0,2.0
PT-0008,Evodiamine based PROTAC,C12=CC=C(F)C=C1C(=O)N1C(C3=C(CC1)C1=C(C=CC(=C1)OC(CCCCC#CC1=CC=CC4=C1CN(C4=O)C1CCC(=O)NC1=O)=O)N3)N2C,,8,12,Valid,687.7280000000002,4.732400000000004,132.12,6.0,7.0,2.0
PT-0009,Evodiamine based PROTAC,C12=CC=C(F)C=C1C(=O)N1C(C3=C(CC1)C1=C(C=CC(=C1)OC(CCCCCC#CC1=CC=CC4=C1CN(C4=O)C1CCC(=O)NC1=O)=O)N3)N2C,,8,12,Valid,701.7550000000002,5.122500000000004,132.12,7.0,7.0,2.0
PT-0010,Evodiamine based PROTAC,C12=CC=C(F)C=C1C(=O)N1C(C3=C(CC1)C1=C(C=CC(=C1)OC(CCCCCCC#CC1=CC=CC4=C1CN(C4=O)C1CCC(=O)NC1=O)=O)N3)N2C,,8,12,Valid,715.7820000000002,5.512600000000005,132.12,8.0,7.0,2.0
PT-0011,Evodiamine based PROTAC,C12=CC=C(F)C=C1C(=O)N1C(C3=C(CC1)C1=C(C=CC(=C1)OC(CCCCCCCC#CC1=CC=CC4=C1CN(C4=O)C1CCC(=O)NC1=O)=O)N3)N2C,,8,12,Valid,729.8090000000001,5.902700000000006,132.12,9.0,7.0,2.0
PT-0012,Evodiamine based PROTAC,C12C=C(F)C=CC=1N(C)C1C3NC4C=CC(OCCCNC(=O)CCCC#CC5=C6CN(C7C(=O)NC(=O)CC7)C(=O)C6=CC=C5)=CC=4C=3CCN1C2=O,,8,13,Valid,730.797,4.322000000000004,144.15,9.0,7.0,3.0
PT-0013,Evodiamine based PROTAC,C12C=C(F)C=CC=1N(C)C1C3NC4C=CC(OCCCNC(=O)CCCCC#CC5=C6CN(C7C(=O)NC(=O)CC7)C(=O)C6=CC=C5)=CC=4C=3CCN1C2=O,,8,13,Valid,744.8240000000001,4.712100000000004,144.15,10.0,7.0,3.0
PT-0014,Evodiamine based PROTAC,C12C=C(F)C=CC=1N(C)C1C3NC4C=CC(OCCCNC(=O)CCCCCC#CC5=C6CN(C7C(=O)NC(=O)CC7)C(=O)C6=CC=C5)=CC=4C=3CCN1C2=O,,8,13,Valid,758.8510000000001,5.102200000000004,144.15,11.0,7.0,3.0
PT-0015,Evodiamine based PROTAC,C12C=C(F)C=CC=1N(C)C1C3NC4C=CC(OCCCNC(=O)CCCCCCC#CC5=C6CN(C7C(=O)NC(=O)CC7)C(=O)C6=CC=C5)=CC=4C=3CCN1C2=O,,8,13,Valid,772.878,5.4923000000000055,144.15,12.0,7.0,3.0
PT-0016,Evodiamine based PROTAC,C12C=C(F)C=CC=1N(C)C1C3NC4C=CC(OCCCNC(=O)CCCCCCCC#CC5=C6CN(C7C(=O)NC(=O)CC7)C(=O)C6=CC=C5)=CC=4C=3CCN1C2=O,,8,13,Valid,786.9050000000001,5.882400000000006,144.15,13.0,7.0,3.0
