Compound_ID,Warhead_ID,Linker_ID,E3_Ligand_ID,Target_Protein_Name,Target_Protein_Uniprot,E3_Ligase_Name,E3_Ligase_Binding_Site,E3_Ligase._Uniprot,Warhead_Binding_Mode,Ubiquitin_Type,Mechanism_of_Action,Original_IC50,Normalized_IC50_uM,IC50_Assay_Methodology,IC50_Incubation_Time,Docking Score (kcal/mol),Caco-2 Permeability (log Papp in 10-6cm/s),Cell_Line_Model,Cancer_Type,Selectiviy/Toxicity_Data,Clinical_Phase,Research_Country,Publication_DOI
PT-0001,WH-0001,LN-0001,LG-0001,BRD4,O60885 · BRD4_HUMAN,RNF114,Cysteine-8 (C8),Q9Y508 · RN114_HUMAN,"Non-covalent (H-bonding, Hydrophobic)",Proteasome-dependent,Heterobifunctional degradation,0.24 uM,0.24,Gel-based ABPP analysis,30 min,-9.158,0.128,231MFP,Breast Cancer (Triple-Negative),"Proteosomally degrades BRD4 via RNF114, sparing BRD2/BRD3",preclinical research stage,USA,10.1038/s41589-019-0304-8
PT-0002,WH-0002,LN-0002,LG-0002,p-Erk1/2,P27361 · MK03_HUMAN,CRBN,Thalidomide-binding pocket (CRBN),Q96SW2 · CRBN_HUMAN,Signaling pathway inhibition (Akt/mTOR/Erk),Ubiquitin-proteasome (CRBN),p-Erk/p-Akt degradation,162.1uM,162.1,CCK-8,24h,-11.632,1,HepG2,Human liver cancer,L02 | Low Toxicity | 0-400 uM,preclinical research stage,China,10.3390/molecules29081845
PT-0003,WH-0002,LN-0003,LG-0002,p-Erk1/2,P27361 · MK03_HUMAN,CRBN,Thalidomide-binding pocket (CRBN),Q96SW2 · CRBN_HUMAN,Signaling pathway inhibition (Akt/mTOR/Erk),Ubiquitin-proteasome (CRBN),p-Erk/p-Akt degradation,140.5uM,140.5,CCK-8,24h,-10.991,0.967,HepG2,Human liver cancer,L02 | Low Toxicity | 0-400 uM,preclinical research stage,China,10.3390/molecules29081845
PT-0004,WH-0002,LN-0004,LG-0002,p-Erk1/2,P27361 · MK03_HUMAN,CRBN,Thalidomide-binding pocket (CRBN),Q96SW2 · CRBN_HUMAN,Signaling pathway inhibition (Akt/mTOR/Erk),Ubiquitin-proteasome (CRBN),p-Erk/p-Akt degradation,119.6uM,119.6,CCK-8,24h,-9.294,0.941,HepG2,Human liver cancer,L02 | Low Toxicity | 0-400 uM,preclinical research stage,China,10.3390/molecules29081845
PT-0005,WH-0002,LN-0005,LG-0002,p-Erk1/2,P27361 · MK03_HUMAN,CRBN,Thalidomide-binding pocket (CRBN),Q96SW2 · CRBN_HUMAN,Signaling pathway inhibition (Akt/mTOR/Erk),Ubiquitin-proteasome (CRBN),p-Erk/p-Akt degradation & GSH depletion,106.0uM,106,CCK-8,24h,-9.076,0.915,HepG2,Human liver cancer,L02 | Low Toxicity | 0-400 uM,preclinical research stage,China,10.3390/molecules29081845
PT-0002,WH-0002,LN-0002,LG-0002, p-Akt,P31749 · AKT1_HUMAN,CRBN,Thalidomide-binding pocket (CRBN),Q96SW2 · CRBN_HUMAN,Signaling pathway inhibition (Akt/mTOR/Erk),Ubiquitin-proteasome (CRBN),p-Erk/p-Akt degradation ,162.1uM,162.1,CCK-8,24h,-8.349,1,HepG2,Human liver cancer,L02 | Low Toxicity | 0-400 uM,preclinical research stage,China,10.3390/molecules29081845
PT-0003,WH-0002,LN-0003,LG-0002, p-Akt,P31749 · AKT1_HUMAN,CRBN,Thalidomide-binding pocket (CRBN),Q96SW2 · CRBN_HUMAN,Signaling pathway inhibition (Akt/mTOR/Erk),Ubiquitin-proteasome (CRBN),p-Erk/p-Akt degradation,140.5uM,140.5,CCK-8,24h,-7.459,0.967,HepG2,Human liver cancer,L02 | Low Toxicity | 0-400 uM,preclinical research stage,China,10.3390/molecules29081845
PT-0004,WH-0002,LN-0004,LG-0002, p-Akt,P31749 · AKT1_HUMAN,CRBN,Thalidomide-binding pocket (CRBN),Q96SW2 · CRBN_HUMAN,Signaling pathway inhibition (Akt/mTOR/Erk),Ubiquitin-proteasome (CRBN),p-Erk/p-Akt degradation,119.6uM,119.6,CCK-8,24h,-8.485,0.941,HepG2,Human liver cancer,L02 | Low Toxicity | 0-400 uM,preclinical research stage,China,10.3390/molecules29081845
PT-0005,WH-0002,LN-0005,LG-0002, p-Akt,P31749 · AKT1_HUMAN,CRBN,Thalidomide-binding pocket (CRBN),Q96SW2 · CRBN_HUMAN,Signaling pathway inhibition (Akt/mTOR/Erk),Ubiquitin-proteasome (CRBN),p-Erk/p-Akt degradation & GSH depletion,106.0uM,106,CCK-8,24h,-5.968,0.915,HepG2,Human liver cancer,L02 | Low Toxicity | 0-400 uM,preclinical research stage,China,10.3390/molecules29081845
PT-0007,WH-0004,LN-0007,LG-0004,REXO4,Q9GZR2 · REXO4_HUMAN,CRBN,CRBN binding pocket,Q96SW2 · CRBN_HUMAN,"Non-covalent (H-bonding, Hydrophobic)",Poly-ubiquitination  System(UPS),REXO4 degradation (CRL4-CRBN) -> ROS elevation -> DNA damage -> G2/M arrest -> Apoptosis,0.011 ± 0.0090 uM,0.011 ± 0.0090,CCK-8,72h,-8.142,0.498,HCT116,Colon cancer,N.A,N.A,China,10.1016/j.jare.2023.10.014
PT-0008,WH-0004,LN-0008,LG-0004,REXO4,Q9GZR2 · REXO4_HUMAN,CRBN,CRBN binding pocket,Q96SW2 · CRBN_HUMAN,"Non-covalent (H-bonding, Hydrophobic)",Poly-ubiquitination  System(UPS),REXO4 degradation (CRL4-CRBN) -> ROS elevation -> DNA damage -> G2/M arrest -> Apoptosis,0.007 ± 0.0010 uM,0.007 ± 0.0010,CCK-8,72h,-8.336,0.486,HCT116,Colon cancer,N.A,N.A,China,10.1016/j.jare.2023.10.014
PT-0009,WH-0004,LN-0009,LG-0004,REXO4,Q9GZR2 · REXO4_HUMAN,CRBN,CRBN binding pocket,Q96SW2 · CRBN_HUMAN,"Non-covalent (H-bonding, Hydrophobic)",Poly-ubiquitination  System(UPS),REXO4 degradation (CRL4-CRBN) -> ROS elevation -> DNA damage -> G2/M arrest -> Apoptosis,0.034 ± 0.0050 uM,0.034 ± 0.0050,CCK-8,72h,-8.219,0.474,HCT116,Colon cancer,N.A,N.A,China,10.1016/j.jare.2023.10.014
PT-0010,WH-0004,LN-0010,LG-0004,REXO4,Q9GZR2 · REXO4_HUMAN,CRBN,CRBN binding pocket,Q96SW2 · CRBN_HUMAN,"Non-covalent (H-bonding, Hydrophobic)",Poly-ubiquitination  System(UPS),REXO4 degradation (CRL4-CRBN) -> ROS elevation -> DNA damage -> G2/M arrest -> Apoptosis,0.029 ± 0.002 uM,0.029 ± 0.002,CCK-8,72h,-7.671,0.462,HCT116,Colon cancer,N.A,N.A,China,10.1016/j.jare.2023.10.014
